name,value,url
cl8681,486.12,rfMdte6A
mg6cRL,481.19,gvoruTVo
CCc9u3,485.49,klAnqh4S
jzFaFo,483.18,rspIr7X8
7iZddg,487.24,98lMSR6B
AS8gm7,488.11,MJFMNEnM
qCE8UX,483.33,0JTZ26YF
PFBPFG,482.37,zaXGqR5l
kYiWnR,484.4,K3eS3qgk
tqYXYa,482.2,A5BDVJIM
LzaSuq,484.49,cTRiwcaS
pJq2ym,487.43,dU8URpCT
tJQY0j,488.11,yZWCDsvZ
yQQ6X0,486.29,GcRKFbM6
98L1k4,486.22,5DuvFzzk
XuBBOL,482.13,rR7hutEZ
fIrpZb,483.14,znkjgzZ5
epieqw,480.04,pIGFj6gb
e9mgA1,486.13,4gvKxbxd
iDnPYw,483.42,blyGt3VQ
pEBK01,484.38,gUJP1p1y
8g3Sbg,489.14,fjwrhHk4
Wfce4W,482.14,LfuJPDvH
KcA3uE,487.04,eITFlxdJ
ojOb3i,484.46,a6knRC5U
9JANoZ,485.31,F6NbRNYV
5BlU9o,485.32,vdj8EW8P
v5H7E3,485.24,WVp2r7So
HF7WNR,488.39,i8Kq2MJM
nU2Vzo,488.06,HPZwnSCa
o6VGR3,485.44,pZPuUtgZ
Md7mcF,481.17,VQhN35fG
3yRuhv,483.44,1dQa3TyT
hcAa7N,480.18,gbDXnFT8
W08JcC,488.32,w5qnnOb7
CRxRqE,482.15,KhfhT84c
d3p3cq,480.16,rJnmvzF9
aP9514,483.43,D1PvUEpW
RAmTsr,485.21,G1OPWgdd
Tlrqs5,483.09,phGxtBBg
N90tLr,483.18,0eZ6307r
PdOQwN,480.39,2b4ZXzy7
hWny98,482.18,G7qiYcN3
MB1hQ5,484.3,6LCUXNdS
PsCkcT,487.39,LLb6Dcu4
8mdujR,489.33,JHpCDyY1
yxp5eR,486.26,ytoIqOqE
2Kp0l8,486.45,xqbLISQx
uEdxKP,482.46,X3Ek8Zy7
4EqQlI,485.38,NN39LKjS
yQmhat,481.42,LLsKnFGd
kM7NH8,487.38,wzz6YbMq
5Did25,481.06,V31HcdxY
YtdPvm,482.14,o20MX5Eu
GmAlKY,483.35,xJFFxz9c
rh590o,480.35,6nu8lVaF
Aw3ENR,485.21,7zKktgwt
kMKXHw,482.46,pbDMWYq8
nnRC0M,488.31,MEdSWdQE
ckUqzJ,483.34,tJrTeVcv
W8BHSV,487.3,1k6VvjX9
RAyODz,482.37,f2zD67Tz
YLshki,480.41,myf0XZUY
fOaWVV,488.19,2WPdD6AB
6IPut4,484.19,Na2uNUEn
f5aRdg,487.14,p7tR71Zv
IucoZa,484.09,1kUCGiTy
GFabpN,489.36,cj4tH8L4
Jup93t,483.15,rvlvoAQo
lhPtFU,487.1,u9zAvVTC
eszdVz,480.11,2oXmYkZ5
sUA5Fb,483.15,tHwBJuHF
6rF82y,484.34,MgsjQMSF
8I7F2B,489.32,DBqnNWjG
VJLgIM,487.2,PbaCCOJr
CftLxF,487.31,e7ys49OH
kTIN7D,480.2,NoVGgSQ8
sd7CRY,489.38,jps90ihc
dW10hR,488.45,BrWqPbK9
0B0hJI,486.18,y5nzL7Ut
no28WQ,481.05,nXcrHvj0
PzJQFL,482.43,aBqqrRNi
CAJ1Bx,484.27,HLrgUmYW
69Rp6e,483.06,HkLXUaYW
JpLrRp,481.31,EYNJ5yt8
kR4Gpy,481.39,WnDQgVH8
BJNxdL,484.46,G6mVd71S
qGgNFs,482.23,HDHneJee
VMVXX7,482.4,heoAidrl
sXhv7a,480.03,xNtPNKBq
sOF6mK,483.46,fTgxNkJs
29pgds,482.06,8OfoGX4g
bXaTGp,487.07,jPT5d0Xh
sTiPgk,488.06,OuPeBCdo
D4rTly,488.24,tKtM8pZu
tCJO5m,485.42,62R80GQp
bVYo8l,484.22,pc60K9Dw
k2eJlH,487.14,VnuElDUo
s6WAVb,486.43,sw6fBtkK
GNnia9,488.46,6wawPhor
jc2PCi,487.2,HvUrwcGR
Fx4kkw,485.23,NtOOCUdE
xT9jyg,481.23,FVXkzT55
dnU8n0,486.32,3a7hNkMV
Ckw7RF,486.15,zhraivom
vk3KuM,480.23,h7TpmlVe
JxoHoR,480.29,ykfWN6Wa
RTD9KI,489.17,tlFTLbRK
lJnNNz,487.43,f5Vp7EqK
KWyPKN,489.11,QDKnyiOn
fAmRlQ,484.27,TpskDBPF
M2WUB5,480.3,qB7nmAW2
I7VVLt,487.39,j6NujxzR
WEcWci,489.19,NlHblL7v
BZPL30,480.39,mKKYTLLK
VlVxMz,488.15,bLEwUWZn
QbhcK0,484.34,UaIOHdB3
YuSzBj,487.21,hXSagJ9i
qSRNsv,483.32,8sg8kWxk
OyWnff,480.23,VSh8MvCw
hbc4w0,485.21,Tj3JfOyE
o02veL,481.17,UagaQ5y0
awRdmB,487.3,OGE94k3V
a390TU,482.11,xKKGGZmx
0Up9VO,482.27,F2MF1B8Q
6YX9Xg,487.06,z2efmTG9
dgLXOx,482.43,InvfJeNE
cYrqSL,486.23,tYqDrkIL
r9UrO4,484.31,EXk94ekS
SOplfa,480.19,TgrxKbsZ
IumSxA,488.29,OC9vFZsC
6JReLw,485.43,Kg5hMV4R
920lEE,483.48,A1Sii5cL
qKMFnF,485.39,79ne4d4a
GaEZHm,483.44,Jr3GsAnC
GeCvMP,481.21,i5hCdSyP
J3bRM6,484.49,SrLofvQT
UPfFKW,484.38,lJB63G40
tDRfnf,486.44,gRRP8qH4
GWy3fw,485.36,B3k6983f
SgT7Rp,483.4,1XHHML4z
mV2GVO,488.42,VHbBPHLk
cnlghG,487.14,bjqhOwMW
FjKzYa,487.34,Z0GgWP5S
KQvk7a,489.19,pVwTIyOS
kfU2d5,486.37,sueir4Aw
bJIdO7,482.2,tTdHK7NF
M77Yxd,487.31,FHBXCRGB
msaoOC,486.29,Qga1K4fe
QKa4mm,484.33,SHZEcEPw
lXfgbm,485.46,VPYQ7upv
6CwXFh,483.24,0Rq4ppTP
wkp76p,480.07,3pI1Zu0a
MyDZfF,481.23,51kBeZIX
DW6hED,486.4,eccHdozQ
5KmiQ7,489.26,FWfkT03w
DcNvnd,482.34,FvZ8zlwH
DTBZ27,485.28,7VlNUtpW
au4ig0,482.37,ZhprmVk3
GKEe0z,487.15,J5AdLaCc
VNkuGA,488.21,mGzlYBl2
9dAmbW,486.48,h4W5QTma
1yJP0n,481.48,Tqfq1ykg
4g2vdH,486.43,X3lrUcdw
vnlDzJ,483.19,4XxEqEeC
cCLQLz,486.28,PPJMNubs
J5NtC6,483.22,sPfMryhm
SmeEa5,483.09,FXBeHzpz
CBjZln,484.09,4PwNKALa
pkJAa1,481.39,S2rK5Dfz
upZ4dD,484.42,dBFsBwAS
ZopVNv,489.4,MfV8NUdl
sHgCzs,483.46,p2YTeYby
88zTas,481.11,NzNe0PxU
yoWA9a,484.2,9imns0Vf
eZQs8j,487.19,l1DB0x8u
MVhgbe,489.12,eXEYXsE2
r1frea,481.22,vTHW4bWL
pYgoTu,481.21,XsYVcE6J
Co9HQB,483.13,DbYcj7lE
vfdx4t,484.13,bfQgar9W
vn9AiP,483.24,dNtIrIEt
SpAsnE,482.19,cKYOs1aS
HVscgq,483.42,JgaI3Akx
N38alB,489.39,Y13vRMD4
lPWBEa,488.44,Vryn28vd
q8UMke,488.13,1qdpPBTz
hu3mHH,483.06,5Hydoe3R
SYbXNg,486.49,255pHDEu
rKIN7V,480.38,ZOSNnzkZ
RtMELK,482.3,PZ6gyd5G
O7Sr53,487.36,JIkbq9wH
FQD5fw,487.32,AeYuZOy4
UGDwTf,481.13,7RBWxnEM
a0ATGT,482.46,wRTEGCR0
74CHcP,484.39,7QN80Bev
GptxKZ,480.2,233yF7IB
QxUAd9,489.44,YRi1h5xM
yezAch,480.2,ojXE8vgz
v1Fn6V,482.22,1uwze99k
cSrUcw,483.21,hB2ZPEfh
6KfWF8,480.41,PGD91FuM
MAgARA,480.37,kfpNmwNx
QIiXCe,484.3,e0y6tW2D
ToNyOd,481.25,XqDdMcy6
dzT8lh,486.17,CJ5KTk8b
LVulaV,480.24,0QFLpFWp
bcg0VH,480.07,rU0bArNV
7OWTeI,484.25,aHFgonX8
Eaoj0S,480.34,9VYg4kQg
yqtdIV,485.49,Y55pI7C1
BJ64rI,486.26,z1k0FlfN
68rmXc,485.23,vSqfDzJt
gVNfzn,484.46,hufIPrOi
92fSCK,483.31,9TXxt95J
bLB9Ob,484.43,KXYiPNB7
7KdkaC,481.2,rRWzo7AB
qhukZl,489.07,e2FbRfT7
FaprtK,483.41,kPmDHr4b
dU4MBK,484.24,vaU2Y4Wj
28KB7R,489.17,wk3r7Gh7
YwDDOJ,483.4,bN1VeGDy
hdwLn4,480.35,WHaxtch9
ugdYdB,483.16,in8hSdsx
Mghl7P,481.09,TK4JkJMb
mztDGW,486.21,revEERb8
DZgjUS,481.22,jSIZlZBc
GoIhQB,488.07,wgnYNAoN
bYYBVs,483.36,mFgEHJpe
2TzAxt,488.46,b3Xog1rR
6KTK4I,481.35,FYHY7gXw
JpfBTy,483.25,d7H33Ctz
m7Xqv6,488.26,tIIHTVPH
XLwtdV,483.08,XLWN4q8V
83pNjp,485.3,GYEDTGCz
nYBAXc,486.1,9zk33GWp
XL8fTJ,480.5,r5n4zIwH
m1ubj0,480.12,cj4DjQEc
tKvxjl,482.2,EEI2JIFa
G9zCtE,486.29,LSfRq5zt
IQsqt5,487.48,ZMrjwcqw
mKCTG9,488.34,cZe2usll
jY9smX,482.36,jenPhsPd
QCIle4,489.18,eQArfZUA
yMumEW,487.43,8i2Q7LX1
4AC5QM,480.41,XZgq6flE
mMDRYK,480.27,ZFubVN6S
pUkIOe,484.33,9jqCLktd
AZ7qvM,480.25,ZmhtZWfG
IdoOQR,489.19,W81iCRjz
fjsZ5i,481.45,NPC4PdXo
ffAeei,489.11,r0lQDr2a
KSR3jc,487.23,f8TxqjjA
N6iSpA,480.2,U5BVMMgF
eHPZnD,480.29,mXoE8faA
t3Vlgh,487.03,GcaaaDCk
8aEeOu,488.35,FFy4wRQc
N0tdtV,488.03,Ga6MTKxM
5P42ei,485.26,v6YNvcNF
JzpC5Q,480.44,UCFlng0c
V84YB7,483.41,3Ecec2sE
dH71zA,481.34,7GoNrka9
ZkvRU9,488.26,9sUImxFE
v6XAvK,486.11,WEhdWFSV
KadCLq,480.12,o0LDDoWa
lbolkK,482.33,30uuP5LS
n48tny,487.37,hmhgrNAw
ooh9mc,480.48,ES8nX8Qi
taEe3E,489.27,A45Fu9bj
CzGhbF,486.49,W4KL3upD
Hp3PDL,482.43,MAfHfxwV
CH3NAv,481.4,WvrlnZ0q
Eb8ShV,482.23,Ea3uAC5e
C67RKD,487.32,0lSKqHdw
A6KRSR,487.42,AzXdueS9
rSpV6g,489.11,9XmwWMlg
RRAgem,489.41,K6jfsl0d
kaoYi3,483.07,OmObt1q2
egleA2,483.35,nZesZgpw
bKG1KD,488.13,0mLL98Nb
yQIcCb,487.29,ooXEUfZD
6JoLfN,489.07,4g8bxuiZ
4Ih1D6,486.24,zWsGvMgW
NUFzpO,486.43,POnPgqE3
JGjosb,488.27,0YAid792
7nseCI,487.05,EQoan8wQ
HRnWNu,483.15,tFDI3mj1
AeiUPi,481.05,UVjOjWIe
oDpZUI,481.42,lQBcCO4t
x9BMgQ,483.18,GuM2UpZA
KYlwL6,487.45,PlO7F7L2
hBvgVG,488.05,HmNmDaV2
zCmqvK,482.29,TyVgwDmk
hhQOs8,480.44,Z6L41h7h
aeRn5E,480.37,yyH4a3OL
Sjx97A,483.39,MujnNB8t
M5UKWU,480.27,JcEbRVwb
0oRiqT,481.19,cKI4HDJ3
oiFG4z,486.28,ahp0rQFi
L4f7BD,482.23,2lsXJBCe
JuFfx5,484.24,gMQMnK3d
O167wY,483.1,0V7p8847
td8lPL,481.33,0c3cV8vv
OXtf6S,485.38,IISaxRXG
oF7Msq,488.36,ipngEQHA
b6svEn,488.16,ZJwECvRm
wlDKUT,488.33,JRKazkN7
ttLkJe,485.23,p5QuJmTl
sGljmG,488.44,4XANEBhd
x7WByo,486.36,ME0lrpNU
Wh8QkP,483.3,uI0yzVk7
6mKLwK,489.18,75vKkBZ3
bPxBDV,482.18,zGGrbRYb
78DRRz,487.44,qlnB3mcc
sUskbA,482.16,3nVzSQTn
gv2UML,486.33,w6FK24pp
kKVHLh,488.03,vezcacaU
IjnjdU,489.13,LVwG4Aib
Da1vYK,486.41,zc7ZazBc
9YLhsm,485.41,phbDgWS5
Jqkgli,484.13,GqMrxfd2
fWDOtB,482.31,DVxOwRWN
a9mur4,487.47,wVZyfB1m
2T7gxQ,488.06,90B8qTYw
c4AdbU,483.14,y1FpcJ5m
lE4Sa8,488.09,J2kA453j
alM1Ky,485.44,FN51w5hS
1Lvzs8,488.27,pgIIA3lp
5SrpA6,487.21,UzFwOMW1
mVwqmE,480.27,I8B6m97F
a7U40v,481.47,iGoWeF8K
pKYI6D,484.16,NyC523BJ
Vm81Eo,486.2,YorDfdSN
W6rRFt,489.08,mlwL67Ee
gEzIx9,482.45,z9RASEI0
zm6Vmb,483.5,6h4cJW4A
B3yOsm,486.35,JhyulMNP
8GwCEJ,481.22,46SItRZv
lXAXXO,481.23,osw9Z67D
fuv3uY,486.48,jcqw6KvW
u0SYzS,482.47,JCOMI36t
YKZLWk,482.17,04SMqDX8
DwnNVE,488.46,hi2KN3HG
0cbHlz,489.2,dXHtT8ZM
0tvCDo,488.48,knxqJdvu
8IObsd,487.28,jWkj0zL0
WsDEH8,488.43,HFuBC3Cj
SsMRdf,480.86,S5HbYtCyQv2G7G8pN5
J384MC,485.47,jKyBYqlSs3sXjLrj1n
h6S4WK,481.5,0MqArlogwd8tDExEkF
1vyY0n,480.93,xm7U2k3XpW0fIveUVB
6hgmmU,486.78,1XrgOoIJgKm8ABqz0P
8648lG,481.54,9pI3s78Qq1BFG9GUns
uSvyZm,487.36,rPCufqg3nxuF39WJTw
pBknjt,483.12,yPlIt9l1J2powglzBg
OWlrff,482.04,B7O5Y9uM1U3VgVtik6
H8kO6g,482.62,LjgrfgugJs3BnVVObV
b48WMu,489.83,qbotUWc7c0Xp5NQG0E
gTWeIR,481.92,IIDTbzCUH0NPLP6eT7
fJWU22,482.79,i9ggmXu7Mh9KkZYEQU
4JtCVk,484.08,vnpeECjC5P6CHDJY1Z
St8jpA,489.75,80r6SYfxJnXVjU9lgm
PNuly9,482.15,pOdjP6REF6SzdEjwiB
anM27U,486.82,tdWEbaS003HSStUzF6
Ny8pOz,483.74,LTQVqej6vhAblsqRXa
j5T4n3,489.8,wYLxR7ZtU7r9hOB9lO
UtJfVd,481.65,AGWAGRk0D5ivMO1S9W
jKnd1M,486.76,fqHkPPHSsr6llc7Qwe
kqyVwB,487.74,MFK2H0udRtbGiskE9G
OusftJ,488.67,RQU6MDsONoZdXFkYH3
wZWjjz,487.31,lke8oLrxFuec4wlUgx
XgUvuf,484.09,0MC1OgiXQmgycT2VFv
J2so78,483.14,PWdvKy1JlX0YerHJPi
rsuTAc,488.05,HrfrRFMlmAWNIoE0hW
q9tXRU,485.29,LitBCV3UWLaZs8Dlf8
3pV4FC,482.5,LoS46mwZd93Y2vlwWK
4OSWu4,488.85,w52oNqaxEgAlHHjC2Z
DuZ53e,487.85,WOIzYk3a9q2VKZBzYP
zCrNyj,484.29,F1ythXJ4KL0NU0lhSS
sWs7cc,480.1,gTN5tbOh1o08Ggsbrn
SfBAfH,486.63,gfcfozf57Q4t94UegO
qJH5ZU,486.09,4IxLa9CRsLRP34g9No
mHMIQW,486.64,dPu4GchLg5axkgmdqI
CMcBUr,487.43,Tx4292ukae5bX6LgJ4
qVwsYw,480.39,uSBGb9lnd71qq66ci5
JOxyFM,487.05,Nmp5bP51bEuCfkhYX6
FqT0eu,480.85,MWTh0GKX5zjXWfVODy
HLxdUr,488.58,7GM9FjaSuilOIBxwWg
LceNEr,488.14,EOzDXYlhxBH8K6TRK2
NtNF5t,489.86,3hcP1hhemn0B26z4h6
x3NR5z,482.76,IfnSLBo3ogaWkE5ftN
aeW5oy,483.09,aKbfhMPMv0YziM4Dmt
71Rg3j,481.67,N9bftJg8YAkyQopOz9
Je7B9p,489.1,USNtaOo4N3mNcN9Zc6
biy4Gv,484.35,4QSR2oIqZZkjHmw6hq
aAmHIo,484.61,YLkJrfkhEmDsxZGqjW
jFmfJG,486.32,uoRDjKAwCJsMU41QPb
DJbJlP,489.36,SpRHECqBJO2lthy9EV
Ua2XH0,485.65,Hd5zP1b8ncrZrug6FF
Y2CEwB,483.06,Kze0etimpgD53yPhBC
HcXva1,486.15,GD4YKa0CYcacXdhYvN
pAUwOz,483.35,MTzRQtsVw5BJMqp4dp
wyimEk,482.49,UF4sm7lZbV5Ky6t12S
WbXZNx,481.24,PRns2xNlATRtNqKzbI
npQneD,481.49,PTXO7bSSVzoJRQcsjI
sRA0Qg,482.57,Yr8zEpd8fXcbzYZP5X
m0lUQw,482.81,NIjJ3J1E9e0WcBPGUi
KbDoGH,486.86,QCaRg1ahlPfMVOIWL8
b62AWG,486.25,zyKWLfJhqs75E6w7Z9
J7qVq8,484.55,iJSJQ3HkmJn203mbPu
4mEKxt,485.5,fSuzad1eYckzYcwP5X
BXRKnu,489.23,lT5IrThHFVQQYUk8v8
oTLt5c,482.27,XUz2PZYR8Vb3dRdX1e
eMkIWy,487.61,Q3pPqRlFQqfRsKk0tJ
Y2c1dx,482.51,BakUevgdwq2LDV3f8W
N5xbrW,481.2,NTwulmESva9cG2Rm3p
7N0nxK,481.83,PF0G40pO83VsmCRioo
BNJi02,489.41,VYVhmwaBWDuS4hRfCA
d6Sucz,487.51,2pD9xNlVLQxepr22uq
2Tx5gv,485.6,szfalMOUtxquXZilOQ
UiB02k,488.72,SYrIcq0mwThRORddbE
p240kr,489.73,d6sInx1XshcmNe9DKw
jWNnWE,480.68,hqAggLxOQC3ARsnCPt
w7eCSv,484.35,oZmigGsK0oF4OQiZk8
7VHh9e,484.28,auE4X5ZD8bmQIuhGRc
vYdA7v,488.27,uMQ2c5o1GjzCHjuFPZ
XE2B6y,488.67,MxO6s45rtPwxKWLe38
86T08f,483.1,AM5WRCCOPVqOVwp2ZP
poiPHF,483.51,w0rUErlaVnlLQaL5aC
SJpkKh,480.63,LRByZ7ymMlUBrDA7PY
7c6kvu,482.29,Kw1SoUbkxvNJL2TecE
wpo7b4,485.39,654PXNIAWlCiUZbC4u
IZ9wsa,487.6,2JHQSWbTqcO25etp6W
V2EHQd,482.95,LCm7FvXBvGE2lQ2neJ
akcApS,482.62,sNN4DWIxnZ89ZeTiP8
trJp8x,485.73,JA6qWtqbLA7wBexgWz
gHaEZv,482.16,ix9AzZhDiPCGKiZ9FZ
cMGLGI,488.13,ajzPkP0crlPT8SiT94
ltaQTR,485.83,3TtG9VHJ4K71YyBuEe
qZXvAj,486.78,kEGZlahSYFXzp69krw
2LdXwI,486.3,i5yHt5SWE1tyb7fU8X
pzSYey,483.71,KroPkTn7BOh7ekgXYi
4DVsX9,489.84,Je7YMU2z1z13fvMQJl
9kaQno,480.63,PrDq0K9I2hwdXphoxk
TlzjbP,488.61,p3v9aPSoe1jakO2okw
u6xTAH,481.83,YXCSC7oKPyMT9Hxl6L
vlxzuj,487.07,DiYKtRbz9ASsASQHdn
B9kdzw,481.17,wEOSPOyPHSEYKpj2Gz
w9RhUm,480.57,y5qVIJEYVAmAoCbc0s
