name,value,url
9Pscxd,472.43,dvA7QZm2PHFF5TulJ9
xfn686,197.78,Hgb8w7cswrtXhKAQ7h
oSAeD8,495.32,ljyQBFDDX6SepOCCIE
rtISAv,163.68,Lyx3UveSUk0cycvgjx
EU6H8U,465.17,VWIBCXOmYHVghI6dah
2YEnBf,161.92,EMGVUxbNPF3rUXhaax
7h78YF,59.27,YmLyJzmHTwDW8ooTQj
hRlq8t,306.99,S1Shp5vxMM0nvlDD9K
TJCPvo,20.9,4NqxK3hZtnjUTcPNL8
wgykyG,479.31,GgxRHg2YFRbMHmZ5vm
tOG4XU,217.07,RDfy7SXmH8woTJnvIG
VQ5Vt6,147.65,VrVcy3tRzvwTiQDA1R
AG8VR3,465.73,gZkS1pC9IAteGmBkU0
F3LCWh,155.79,C88UEeJBsvlm7IKmvN
yfoQnq,121.75,PrO4rDKPNlZP7QFnQq
1JGT3q,207.37,9DZ3dKatXclxzIBsXT
rQ41o0,260.6,02SDnB5R3In4hGpaaW
fUcbj9,158.47,AaHMK9pVkiQolsrBsQ
8icGCe,463.33,hcSj7PAyQCkeLSyTWq
VgcwOG,284.43,X1a3WNFfNgvtJ3QVa2
WRemIS,496.21,mLonoF4JTzRmLx76RV
X48I5z,404.78,1fJpxPLwSvYH3Og8Qx
UThCqa,86.28,R8Km9qwU4Bp0uN6Mms
oCWzAP,406.29,SsOqDmJaxqPOxcA9g9
KTbHFs,360.3,FBqz5FpqhSGvdrOtVN
HJOAkB,81.5,5OKfgZX07xdWvrApMk
S0Tl8n,247.57,5kYpFoucBjm5q0DHv2
J6c0Ne,178.02,gsK24HxWbADrHfroTA
sSn5Dq,129.89,kWOuszRHXHlryieoWZ
Qy7Bk2,87.35,pDy2s4KkttxCTVwo3Z
r3N2zV,24.08,Vd0ld8LmUvk3LHCrmg
oPhxwN,426.13,xjEFfPZn0jP6WNDlRW
za7qvv,256.42,mCvIrBAERIRlS9i0Tj
xgGpt2,21.56,Xvj4HX04SPm7FDHBTV
t1rQqa,29.76,A8AEzNa7ne1cG6zQzU
MUmW8a,469.87,OBqPkeqXCYpKaPgdG2
E0UWCf,319.74,BzQ9sGa0l2LN0gwmSc
Re257k,302.58,egn0jTQslYHNSEx3Fh
UtpVDA,146.13,ZC3PQ8Vibkw5necFnP
EAAg89,83.9,Bo4ejhw0J6O67RZLdV
A6sRf1,344.72,nHhQrHLYmIeCFNb4AT
MYWuhB,446.52,oLJr89S0T0cUs5ySpo
JFMwRM,368.04,K8uFR8kBS0yDNpKk1x
Du0Y1V,288.09,mJzpqme4QiiajMLDNq
pzOLkU,19.95,5ora6ulfAsBNjIDeQ0
xMNnU5,334.26,DHCEZYeFO8dP7n9Raf
ZASW3Z,5.7,7lCCAVDpww5EKsFwYL
Y2EuP9,310.62,nT2vCbtRb3CPUC5ajK
ciQm7O,404.66,eGiFgwU9cFerZSKAuH
DZLWe1,103.35,X2nJS5hBrt1WuTxaY2
135w9S,250.79,uilOOjS6Yr7Vd6UVzN
VLQbhO,321.4,5MutHbbnrvKDyI2JGN
hT3bOh,343.92,u2ZH7giabt5GQdI147
xPB3A9,449.11,CcjyU4bSKmIXGVyn4A
5J4dfW,402.25,JZsft00OBRc9EYlKNF
OVhPLt,81.71,bIWiEyogV9JgTKQpt3
CQ2ZNo,361.91,wwAFCxStBIrQODcs7t
mnekNs,391.06,UwltSrAduPVq3LBLoQ
Wl8Ka4,401.95,GKpwF9bySiorzJWJVr
wpX1rN,266.81,v0nWGrto4JebtPbKMs
erlFDK,493.03,78rlBEVJfqxxYVSUum
CLq17I,382.98,02QfjOiq66t7pPJc1h
5bl73H,156.87,O98jr4p3Eq17GlmULB
wL2JA7,260.47,tHys5P3iD8VAWbYCrt
dOEono,191.79,oemK3IhCLd6ViuRofe
Ic0kks,467.69,pNalAnQ377TCDFwvy2
6wA2vq,35.84,yOcl6CWCGpLbc42VnU
oKalun,218.46,QhTUkgTo1A9qrAH85G
L9bJK9,8.17,fCW1XLDi19uNPVvtuS
UVpFRa,33.56,b4q3rgqX6PIDndBdVF
Y244WL,83.92,A0D5UFb982kFML9e0W
80uwhy,299.3,BQdilZvIUe3VbqAHic
CcuAnt,495.75,smEjgOMyuHh3Uc5j1L
9hHGyd,340.19,gwADfcArrbvT1gB836
O4e9BE,251.32,bBXDRx9BRrn7KU9SI1
fsiKD6,119.95,2cooUb2b3ai3QM0qy4
NKAWha,111.67,s1vVMnI3Mf2NAxSasK
Uds8Sl,464.4,bBrVxLGexynW6HaAG4
Hu48hA,22.27,hMF0TRLaLAMoUOe47h
veKYID,62.62,qwnftaBdPiMUWsKH0s
rvTGxv,0.88,uV2S3cw0W3GeYKpRKk
gepusU,88.33,2akW81oPAw7ez7NeJQ
f42sMH,118.25,0Ccjw6IlM2aRcu7h8f
LIPzmw,200.45,veQyAnasYoiYluPoPf
V86ril,77.38,L9Bvn0fMRXgVZkkfRU
rZ8Q9R,317.29,mJCOeA0vaS85E2Wt99
DE9B18,167.52,pwqt6v5LB7XMo7P4rT
LWS5MI,15.91,LU2jbQfzJ6EkJzabl6
LsHBYj,193.96,H9HIZNUuB7xaZLVnbV
rYEuCp,308.63,EjAEbOubMD3bmvqlP1
cbgmHG,127.06,auIzXnBV5J9AYYn4GC
pGnW8V,334.46,AN8Z24Hx3leUz1nL5f
PUVG0F,35.53,xoYrLUUYHFzFafudlP
OV1oGU,141.77,4oHb3vnR3TYA5JGOAX
gpQPs7,319.03,KIjQFpu3rYQlUQG07U
XmWZG9,391.59,woAbH9t1g6bUAWDkNh
PUkOkZ,298.94,T3vWNRY3Xgn5rrbgJ4
ZX9s8k,52.7,Tza4i4oZpdBmJ2dIUs
y4eBe9,198.65,8MBWdOw4WSmNiYw7Bs
7cj4E3,127.73,zbLcfAyHo2L5n5E6sR
60u5xq,195.2,ln5loc4BY3U4svSuE4
Jqi3uZ,246.24,EpYfiecANiCBJCTfwg
SYWmZZ,239.46,AMt9JcyApTcoQEuVUc
d36UkO,408.0,eBbAoEkaXygUOcY7bL
CfCI0L,355.81,wSR6XXKah258Z97FSQ
o9quz7,474.45,XCqEJbCvuu935pHCBU
xySsU7,291.9,AoXW41pgP9KGJvWuwW
nU1wfv,238.67,O7FsE4vhv2y3I6Ohzm
KEU0qR,225.15,9vmfI1DSZs9qrBrEFq
6gBcK4,96.76,kY8SIyxosiTyKyJ1Nq
QECogl,156.8,VmT2ggM6k64UVF6skA
XiSb0Q,91.15,CzdH2EsU1AlWlQ3vWu
G2qZhu,163.97,LheEJ0PdjcpaFXikFz
72V1vp,319.09,joI5DuVL2WXy9vQ2Zn
F8kViY,334.45,sxXwgdYnAsUupAMylV
o3bGKX,259.59,j7p5YxVeAzLyA76IPu
dpOM5Q,376.8,O9zqsgZztNjzT0bxRa
ZNMguy,51.67,EUxy1gqzy9FcFwkBxl
y5z8du,304.62,liyEIZmGpSRyoSDc1B
rwlZIe,42.81,LJlsy8bvd2gUyP18XE
JuA4Da,197.76,yxE431imARQmDKVVK0
ewYz4g,103.26,kBU3Er53fgF4RsoeAp
Uu1AEK,173.73,J1PBLKhzI9uAbqfyLc
qqMDgr,400.02,QO8N6X6RMgIo9untvz
tx5kg5,5.77,A68C6QEQjZvWt44DAO
Nyrfps,455.05,yf5GE3TfrE2S61be3W
O5WrtL,53.38,MqaPfWj0QJqi81up3T
9GFcla,273.46,bOZ2TB2UD08Vw8DA5l
Vz1Pns,55.6,5o438eNgiVhFsz5vsT
FatmZj,239.13,CHRM5aIhIMPn8tP4uI
aWzYjl,47.63,oFjFwLSy8AY1C7gsKm
8t1QHS,160.56,q6KT85Dgbf7Pw6p13L
NvRjbj,8.13,wspIKyha1DPWwTxmu8
4yBcyd,264.92,q26fObGlaiLceZZgGS
78o3xz,374.44,BakdOnFimRrJVw6Bxq
8ktSu2,404.43,BWuXbj44IH4KzPb0NR
EtASiL,360.82,FdgaMfKFcLYfas1bqg
A9BJdF,69.01,q9ZihfUJq775El2w4E
vu0WpC,40.84,86BB1C2voByVeYcVpQ
mmYnHC,462.07,NxpsqMeHppwJhw10AI
am3AVW,420.08,9GRoHIqLpYnnhXrZQH
YutXTm,416.63,kQmjYBbZ2A8IXRUqIQ
tQ3hKb,433.12,9aPPrLLvW99vH5lm2c
gPa1Mu,234.92,wOCRsDJEGuHX5uPwaw
h5dPMu,213.1,TWx63n252oHzEJkw2f
ctGUBu,364.87,O5dmadOmiCNssU3Lf5
gMgB19,133.89,UHCAeu69XABVmv7LVC
C9xx2B,187.26,5iNR3XcY1m1IymjcqD
q4gfBZ,286.31,fT1DbqjAGFjOOgVxBi
aMIIQG,159.23,9MDuEj8WZIaAArXCMu
izHjYn,458.09,nSo7QYYCD29rqf1CMk
PKxEh6,386.37,hPwJdEKupidbOFkaIh
aG9LYc,275.84,51yLhi7vGOa2dP2U2c
HVTLUi,356.43,DwWvY0jDQMpME92Xgz
zvvYCc,443.94,DPvxOsF0wYsSsjXeav
4z5GPw,361.23,vBYKYm6q0GYKJapMGd
EoAdhW,53.26,KU9NmqMnNVwwa1oJn6
M7CzMw,487.91,obZwn2UVcBqd440hbl
KALQoZ,264.17,0EWX8j40I3RR9ih5k7
9z0zDo,153.21,LKJw7Prsljk5rYqThK
mefCkI,229.21,7GojCfONeTb3Agzojx
36h5FA,118.29,8OHdCpDd1xUTjKjNED
x9Zerx,312.11,XP23hEilNFNN9F39Zg
WsGvCd,148.93,7C40SPTytjH7x1vU6d
hsUP7A,88.78,i2Ih0UBSt1Y3aqlHJm
E53MCq,340.07,W1BpjKV5EmjZsKQMka
fg6LIm,201.25,X3AHC7gqNHp1FeVC0i
zDbQhD,391.81,nD00BrGhyn4CHcIyul
xlI2Rj,158.02,jZupPA5Pr4p5f8iamG
6LgDOG,439.33,b7j514OVkxgY5rUJgP
uzSWxb,103.49,PY7sYdQWynFe3JudsI
XXDzCp,295.06,zPoNj3IV2ImmMOiTmG
bRaEya,92.35,v6RlXX643uv1DYDOEz
nwMbDZ,79.02,zpBxRjmmWYQxzFDlA9
RysU94,459.95,HF5VomXWgpbomq7w2p
kqx4EO,275.54,011YPQcJSA0o2LCQFl
f2M4Gx,6.79,T72cSYO1VSbUcdsHuz
JGTuQb,188.76,ldfCXBOsKssnxiGOGR
HBJQtP,332.43,X2HvsdJNc4Vx2Nr1WD
8sC8Dp,353.48,aNGxKnjsdlfDM5FRxS
yDNS56,151.73,SXf0VzdjE1VR2HlxPW
rFFeu7,124.36,xL06aeb3sLj25TuOYw
WqIcec,29.4,MPWm0bfTio0wrSlCfc
OIROYO,260.92,dYRuKPsCs2wTIx4UBJ
AOUerO,480.87,AEOg9akolgepkjqQl4
DaDBBQ,230.88,W2t9e1AxG7UVC2LyNw
UIE14m,51.91,nIrxILb8AiUL2IPJBp
YZ8aV6,491.45,0XsBnXIjPb6eoQgh4s
CwFpmt,373.59,EfpnOUtIitN4k2ux7J
UoEKpm,463.01,jAjKrHok0IF9KwOqSX
p9pdkc,32.67,0K3HJXtvenirykvL3v
VQdLhE,71.18,Kooh0xDxyf6s20SBVC
d8tJec,209.67,KsBjOhClXTmYxHB3Vq
KtdgVg,158.01,9JC4m92NfxnAxPMOC6
2lWuEY,455.25,fVmFRQEcIUQFYKA2DB
sanHu4,487.12,E3ZvENaHNEJgNuCoXH
KpF3tT,304.12,BrvNzIr2U72vgpdc1Y
yJ1pU7,71.56,PntF9rdheQxFXoQM2k
x3WKR3,251.24,SnLLebAEdo7mY9w9hV
ZE2aPR,61.96,4FEvoNxyauHCsAUUMi
X7Sbl4,175.28,mLv351RJbaNK0i1ZXj
zBc85A,397.58,7CzejVPtAZnZPCggN2
jk4OTu,468.03,9mCyvBkZ4RFuJwtdvV
TEjDgt,326.13,FFIijA6WR3Fb6M5KZh
jckGMt,182.64,HUfZBwvbI8pUb1Kco7
ho1mHn,407.98,W46Nqy0R9uI47g0IbT
fJAf0K,152.04,HJunuYwuw65A0vYd4i
aRIISt,64.14,A2EeeNFjaxLJxqdYbC
okw9oV,90.36,BcCu6RINlKqSMncl2P
4LRLbW,303.66,YTKygAeTDm6BJb5JPj
qZZnvY,479.39,KsIS3yVDHdKr3fl1oJ
qjUuNO,178.67,3eESuv0Pvpr5sGlBxw
NyiTrk,150.8,8VURfS2HyRuCblgvIu
P41nj8,360.58,6My9ZXi6jcZlTUKwTf
MLIr49,307.92,KJOlhgwPHAOQnddgXK
IALDBu,459.64,CHP7BSAzpSFOSVAiNw
8Qztyg,451.4,PExEAbPa5oBA8raGSR
s5SoNp,464.98,FfcvZ8xugiw3NBUzSR
CLakk5,81.43,7nClkBriliMuFwQvmD
jxLnGo,142.72,QwQ3l8IYrhKbUyDPPg
ih1w2f,156.63,ERiNiUWOXKArfqcazE
sidulm,161.37,hPn4pHObnA2mH5XUX6
lPqNBE,285.23,E5HscHRVVrpPWfJyC7
HfOEJW,143.8,9NT7WRcxyfDWlfsMIE
uYwwcz,316.94,PO6pphXK0F3mr5fodz
n0UDba,152.91,iEeTRGIJwnqBKdb6EB
n5day4,153.99,n4i9bHpC0FICJqOB91
VZsI9J,220.94,LCWYWxONqWiFn8k3gt
dHllkQ,426.16,ryG47zj56YKBfFd4wf
YBLlvv,151.43,tR2AAPy60mPh3W3gbm
MywF9l,380.92,qbEr1arrb8v74erfBO
K7OHC5,147.78,d3p8wF1EJRBjrhWLG1
UbqNvZ,465.15,jSaKSC0Iow3YBeU2ap
SC6P2V,6.04,193RT9ZrhrtVDGlwTj
ZXJdOs,327.47,KspNTU9kK03ZK714k1
MNkv9K,135.26,jWxAFCMJdVtKSSkDxm
S3kOcX,264.72,dZIZHQ5mAmmrJG25iC
8pWW2f,181.59,AsS3o9D7hzoYFXh4Da
xcuYbt,410.63,pARPWoQyMsTPz3jKAq
v8BQKk,68.92,kBbIYBRAOBWcd2H4Sd
2xl5CC,99.27,NqxTCAdHqls3jsicZl
0GVlUU,237.12,lmvdS6Pya0qkV15qe2
c94LwT,260.45,hXOysWpozLlzzO3nbk
cJ3RSw,333.03,W9HiOXm5VuCVF5TJcA
kZQu3t,19.94,6ILliD4nzhSs2JOd2k
S0n1mf,485.21,cvCual3D1t85yn8RO6
x7s40K,81.23,bwRDan5i8NjYjcnEu6
RxqEgC,209.59,Z7Dx4C53j5XRDK33aA
2dL2Pi,381.0,nboAGjg3XDlug36cBc
Iuscw6,403.45,Pe2atTek4GfnrF9r4o
izIPCC,449.27,55KQQkw2gzujHazU2S
VhVWYw,281.49,uEFitBhLqysRCUMADt
lSAZuV,41.08,IkC5vx2XJmafoLScIw
n5cE2R,328.7,CGheXBQzi1hI0hc2TK
ioUKgo,28.33,ACUAdSLhFbSPkrEYCd
bKkrxc,323.77,8YFubIMeFCxSOcIQIa
Z9PS4W,467.28,N53QnFnCUsIFjW1RzX
8fMWdp,167.34,d7cNysSRkzlRmEhp1R
JCqCH9,382.98,vaEqMurXzNM7DHCofx
nBGGcR,166.49,shMpcXDhT2uS3RUjx3
Nq36sO,300.27,chiNQBPFinv3hUJg4o
e2hbbX,25.4,vL02exK7xP2rdAxDbb
9el2Hp,156.44,rLYAZzUB8j3ZrKQFso
vfDaKt,361.65,CgFYpvdgBmj51aMcW1
MGEcD4,370.68,eKnNdXEnshPxRXo905
0UwIRS,298.02,6EUdhLdF2jopv2INTR
GDYqiY,113.28,K6u7nk8ALDy6cFRecD
B2HC0p,366.85,Yu7CMCU4ee2pZm3HQh
nloNcT,176.46,4CZFveOGSUuPUwIdNf
NtUcwQ,451.94,dgcQg8wgdlQlcqbN0V
AEVh4Y,282.08,FUiLFuSDraxFVpGHxC
ri95Js,102.85,kOELWdCXJnjkfBxsQN
pw5nwA,452.3,jrvOe2mT2j7PHy9bZJ
TxYY1e,86.63,2cWpCIJKpN319kAvP5
E5i8fg,345.63,zZ7reM0tUx4d7xF77d
3SjqwI,20.85,hahPMwsAJ1JHDjLL2H
7i0UP9,321.18,QdYywas8wsPEFg5TxK
yRrmWJ,83.45,ir5yN0xFNVV6spwcMX
x2ZPZT,122.16,ebtuEPZxKNJYI7GF3P
78q2q3,287.6,m8nUNzGY9Ud0f0VDgX
Tu2kiM,436.7,Eq29rQ1t9KwIauDkPg
NNZ9P7,103.6,tRbJgDjxmo52Fcl8SR
AiMeUO,323.48,Y07MKqFj1buvUBwXym
39VkJ5,70.19,Qsh9Bo5L9bKWGZoNL4
ybB7sJ,326.03,MwsB27EmNuYcFXCTZw
YMzuPs,243.0,ZDvVswcDuIf9XNHVIn
tMU8M8,191.62,kRx847raykh11ce9pH
nDjhwy,113.2,VtCQ5cXZ2Wvaey1RS7
D2ymqf,31.11,jbdzTMWUgFRkQ6mWdn
zWGqJP,102.57,oGL1A6cWojf8oiqkH5
KqtwnH,373.73,KB5MS48ftmYimkc9jF
YigdSp,467.75,Qp95TPW3wJMRd7q1eR
ChbtSQ,55.48,E8RJc1AjWvr1rnwmQ6
LVSwjQ,146.75,FVNz0wQ3SJxcvY40qt
0odWoD,6.12,N9gNZM0Ht1tUgXUG2Z
kvIKxR,213.34,9fnZ2B2BvWDm3kZZ8G
phWbw4,476.33,BCHnIVGUFQAEmUaOMi
qafG7L,334.5,pLgorCSNAhe9hvN7eP
YXJWf3,373.92,xbENHQdV4RO1yCNKyl
iHQdSN,304.35,WfF5Qz4Sg3PG6n8fPK
uMCaaG,326.32,qrCpCvnNM1n370xnrV
3Wm7re,36.85,NC9uljzlYBWDJHGJYo
JUOkwO,427.49,lUMk5DwlEi6uTRtATq
qHga6u,63.67,0igeHO5LTUvIB0vglF
rE3PtR,324.54,2iesJb6TxMlMi7khq6
Jv7is3,98.19,ydRgkSBCyBjzjQxPqo
Z1iiIx,9.49,RhCdG1klN4tZLt6eo2
N5UQoq,230.8,6Qwer9fSpd7ZoZunTN
baZXcg,148.78,G1cbFvW1qlQjjbyLzN
A2NWnw,162.84,f34JQumztyEgqoNVwV
p3lkck,281.68,MK14keLFIrJpBGrGNc
6Ns1DG,54.79,l0eUJBDdoYfHjsU4k3
LiJs6L,85.18,EOiOZI3rRySoPkn7M8
eg3BWr,166.77,qN09nEsjpoZAjAT3MU
yhJ9kX,364.46,hKOeGCpiisD3ECBDwH
uzG3rZ,26.53,P0CxeFsxm7N487Kf85
8uILOR,281.35,EAK94WRjTmYyzyFEZ1
NpMNkD,202.97,VqUxXHyzfikWQMZHSk
CWyFdb,124.39,PIvZZbAGIM0yqZpe6v
NJCSj7,448.38,QKP1WMt0klCzCSg5ki
XFGm54,166.05,LFQaNlh5IgwJj8N2gh
rPw6La,298.26,fzQZdCnyk6pbuA6Q8B
V1Dd9J,19.75,ncCqpIAQk7SoqCcxX6
KCQYSz,69.73,YOZMpUAV4ETVhtf1AO
ytdK6P,18.29,LqAeGQBc1din0fO0ck
ifHWox,426.64,mVDOei0C1rC6xawcai
HQdHrb,360.28,peYwYbbenInNGqMiNm
M3eL2s,442.64,OwFHtpg3gt8DtJHFxm
SBWlx4,478.85,btqBt2l8UM2OK4i2HD
KgyLtb,278.73,33ub6E5NOto3v1GeiU
