name,value,url
w9R6qe,54.22,tecGv8nD
JIXHb0,51.02,SKRg1pmM
48fO3i,55.11,KT25N6d1
3V91A7,54.13,MpBPfvCw
wyov0G,50.21,ZKD4WZmS
o1NKZ5,55.12,PTCfsuH3
yiPp8u,50.13,ZWFcWuEP
l7trtS,54.17,3icdy7TA
AXFAnx,55.18,ANqKyzKA
VDRr7Z,50.03,vsfj2JiG
p2wZS9,54.26,Wqrc9Osv
nppdWV,50.19,fWx0OuzE
p8w8IZ,54.25,4SrfGskz
FC6fJn,50.2,q9fQHyoT
Wdqvxs,52.07,Bq0KlEBg
dkpxSM,50.31,WhWd1kpA
hPd54f,50.16,ADEmz1mK
bAuPGv,50.16,yZaFrTM5
6lwgqe,54.23,U98mP8Q5
A2Viqq,56.04,q1vx9bUm
fLiyhe,55.18,znIvtynA
iVMzOW,54.12,WWj0Ffjh
4TvPT7,50.08,CtHhZXkn
QsVjcU,54.08,2w1iHCTb
jOM5UT,55.05,JTpr8KAJ
aMzVxa,52.05,7nck7Fyr
3BFzNM,54.01,B2InYkC4
yYzJ20,55.11,gc5IgJVm
9QUtnB,54.19,1TCwiNAj
dXHtba,50.17,28JMRtoV
ZQ0rQW,50.24,GuNLp8CZ
goMIHi,54.13,0lukTVws
NT15PA,52.09,p3pPEHe6
ImfL2j,56.03,jLGDTIGS
sq45xX,54.24,3lGuFvZQ
vwBDHs,51.1,Q8WWeF0g
8aHRaB,55.03,Y7JVAYyM
6ShUCY,50.31,bQzt7brP
qHKyXA,55.07,XZL7CU6V
sA6mDn,51.03,T3VUXIMB
YNrVnP,52.1,maEjVLsc
fSHbh5,51.06,6ArslkNu
rJfUWx,54.18,YMWjvpyq
v0j3ra,54.3,pVjgP3UX
uI9OlR,51.15,bQ7keyi3
WPY0Yi,56.01,Fh6EkJgD
Mds8p5,55.1,vMC5SyYW
0Uiikx,54.12,7R2812LZ
cp9KlQ,51.01,PrENAvHr
ilWagq,54.28,89KshLf6
beuvq2,55.04,9FxXBWc9
U0aCGm,51.06,mOhSuqdG
TeqBrJ,56.03,QmvjVAas
A8xePt,55.15,JquKgpLG
GTRqIa,54.25,VhxYonG2
yfOaif,50.08,cRSYswgo
Lg4Ygv,55.01,cfGXF4bf
Lm6Iud,55.06,lBgtHBnQ
rTsfc1,52.08,tDuQwhlj
8Zuyoq,51.13,ADV8iqFk
6QdkFI,55.07,OI7dWA9g
TRNdCl,54.2,XnfPa1To
nGcnZj,52.08,0QaQNTtH
bwv9AV,50.04,ozcn471I
ApC5e8,58.92,ZgOpvdVrbcbFZfhuHb
fwjUd4,56.45,3w8llJPBq0iDZaFpeG
yHKUum,56.91,zCJR2ZqECPLHyIYV2W
FV7bkn,58.07,coRwcTi69PqJZT2Tri
8LUL4o,59.81,fYM5hDT0azs9iW75r7
TlL1A3,52.4,yTA3xgwAAWrEMN1gYG
4XrZKH,52.36,DjnruaFjKSspKoHgMP
0aYEnR,55.81,AyxgKDDi4DAV57nUNl
wbn66Z,55.11,uCS6FFs1iTsPnS4fUe
cNAkTB,54.91,kZyFtYGM6SbdoLLmFH
Y1nWJZ,55.67,MGYbfSS243v4jcsDqd
SN5aId,57.15,X8mKBh0iYXQppq05Qd
gdeZ5T,53.1,M3FusnodAYrboxJhO6
a2kVcx,58.12,oMmXZHU5TuaJlSuKKQ
bAX9kn,56.07,OODQ7MmTgLZywBh5rd
72eu4b,53.78,7V6DOramUwYb6Sxrl5
HZfo4b,55.67,5M0yetTsyTJynBtKTr
LQXFtA,54.61,XXQzRWHupiUyjsIz4i
pv77hs,59.08,8PRUocwaUFUypddI0g
T5O8Fb,52.23,XpCkRrpBm7WejWXNK5
M9cVq8,51.3,4dUfUCLXqsIGYYuLb3
LyjpNb,52.94,emNVPruGAxYD8jiVA8
SUIDQv,58.96,9Ar2k1y7cIAgaiDWiF
qOAHKQ,52.67,XNXuG7DLShZ6iondSI
rzDFxD,51.0,WaOXkR5xAGeiYApYE0
nh4XPZ,53.89,XVdu4mgJvLPgDJYo2Z
XJqfoa,54.96,r0n4Aarl4O54B6wumq
ZqhoIH,57.93,e0NnoiUVrpKhL7V1z9
0cFsH2,52.88,gGMYVbKWFhQW6wbgnu
Cp65hF,56.18,7BkDIdGHDlZHTeog5E
8JVC42,51.15,RNLs268gzPt9ZPxwb0
OgMb0v,55.95,KkBXvGLOh4aqAaA4FO
5lAlg3,59.87,DIKpmee2w8EJyGAA1A
JgU6cC,51.52,Du6llcuU0T5ajRIBB3
Gy2dzJ,50.65,EGxhEjI8SAxrs0s5Y5
xUInMK,53.97,dLI3zMortkSOr3Zyoz
5KF2am,59.83,Gb9EVjTCvSzprToCav
eeu1JC,59.02,OgqBHcIuU0IpXa788v
x9f5Yg,58.73,T1ykhNWzecKouOhrrY
JqPOuz,57.44,Yj7bIU4WC4QxA8x5BA
RyibyZ,51.63,yKuXBrQg9vv7MKJ4v2
z3NkXk,52.15,Ja8weHT1tX448VrI72
kQNKr4,56.35,RqGI8lhTBIlq0K1LWI
jsVZyo,53.33,IoFSArgeNRSTiknX8G
HAUlEO,59.79,a3Cw5g8KL4ElmA9FKc
1uCziH,56.07,Zxoc28VVlf29mwVY3S
6o2ugb,58.73,A4RwurirxaTuqTR9Yn
x3R9UX,50.83,XjWFUwOR1b8TUL1RqP
AFhDWc,56.13,GvFrP9N0lUVLUhR24s
PgheOj,55.21,MBWEioS5C1PhCkgdUw
0tg6nG,57.12,hJhKCLk57vPdW2Sb7P
Pu0oZ9,56.32,xqx65XlAxctCT7vjVA
