Name,Value,URL,Target Value,Total Value,Elapsed Time (s),Target Value Log,Total Value Log,Elapsed Time Log,Results Log
TEST_409589 ,163.9786417,409589_v163.9786417,206,205.8999135,1.7136495113372803,目標值: 206,結果加總: 205.8999135,所用時間: 1.71 秒,"[('TEST_409589 ', 163.9786417, '409589_v163.9786417'), ('TEST_171809 ', 10.9520836, '171809_v10.9520836'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_427890 ', 20.9846507, '427890_v20.9846507')]"
TEST_241892,503.9730706,241892_v503.9730706,989,988.863012,1.5338611602783203,目標值: 989,結果加總: 988.863012,所用時間: 1.53 秒,"[('TEST_241892', 503.9730706, '241892_v503.9730706'), ('TEST_97252', 299.9668334, '97252_v299.9668334'), ('TEST_170970 ', 124.9642564, '170970_v124.9642564'), ('TEST_67738  ', 59.9588516, '67738_v59.9588516')]"
TEST_398215,426.9758463,398215_v426.9758463,1665,1664.8601330000001,1.4162449836730957,目標值: 1665,結果加總: 1664.8601330000001,所用時間: 1.42 秒,"[('TEST_398215', 426.9758463, '398215_v426.9758463'), ('TEST_191182', 1010.9258124, '191182_v1010.9258124'), ('TEST_37126  ', 155.9890939, '37126_v155.9890939'), ('TEST_402037 ', 70.9693804, '402037_v70.9693804')]"
TEST_303993 ,178.9724946,303993_v178.9724946,1702,1701.9132938,1.4110093116760254,目標值: 1702,結果加總: 1701.9132938,所用時間: 1.41 秒,"[('TEST_303993 ', 178.9724946, '303993_v178.9724946'), ('TEST_130361', 495.9781531, '130361_v495.9781531'), ('TEST_467906 ', 165.9641553, '467906_v165.9641553'), ('TEST_9883', 860.9984908, '9883_v860.9984908')]"
TEST_208413,677.9250753,208413_v677.9250753,1066,1065.8209281,0.22839021682739258,目標值: 1066,結果加總: 1065.8209281,所用時間: 0.23 秒,"[('TEST_208413', 677.9250753, '208413_v677.9250753'), ('TEST_222792 ', 60.9977355, '222792_v60.9977355'), ('TEST_188133 ', 75.9138511, '188133_v75.9138511'), ('TEST_13472', 250.9842662, '13472_v250.9842662')]"
TEST_96683,1050.9683697,96683_v1050.9683697,1798,1797.8264772,0.06183314323425293,目標值: 1798,結果加總: 1797.8264772,所用時間: 0.06 秒,"[('TEST_96683', 1050.9683697, '96683_v1050.9683697'), ('TEST_262112', 444.9535718, '262112_v444.9535718'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_389580', 291.9199982, '389580_v291.9199982')]"
TEST_231073 ,77.9858418,231073_v77.9858418,313,312.9180246,2.1181344985961914,目標值: 313,結果加總: 312.9180246,所用時間: 2.12 秒,"[('TEST_231073 ', 77.9858418, '231073_v77.9858418'), ('TEST_184272 ', 177.9553731, '184272_v177.9553731'), ('TEST_386187 ', 13.9923255, '386187_v13.9923255'), ('TEST_209433 ', 42.9844842, '209433_v42.9844842')]"
TEST_36378,1356.9996147,36378_v1356.9996147,1651,1650.8363491999999,6.096816062927246,目標值: 1651,結果加總: 1650.8363491999999,所用時間: 6.10 秒,"[('TEST_36378', 1356.9996147, '36378_v1356.9996147'), ('TEST_171809 ', 10.9520836, '171809_v10.9520836'), ('TEST_274673', 243.9279474, '274673_v243.9279474'), ('TEST_57601  ', 38.9567035, '57601_v38.9567035')]"
TEST_22766,453.9153667,22766_v453.9153667,507,506.8367517,1.20505952835083,目標值: 507,結果加總: 506.8367517,所用時間: 1.21 秒,"[('TEST_22766', 453.9153667, '22766_v453.9153667'), ('TEST_427890 ', 20.9846507, '427890_v20.9846507'), ('TEST_171809 ', 10.9520836, '171809_v10.9520836'), ('TEST_427890 ', 20.9846507, '427890_v20.9846507')]"
TEST_11799,455.949866,11799_v455.949866,597,596.8311682,1.8095169067382812,目標值: 597,結果加總: 596.8311682,所用時間: 1.81 秒,"[('TEST_11799', 455.949866, '11799_v455.949866'), ('TEST_116267 ', 93.9622995, '116267_v93.9622995'), ('TEST_171809 ', 10.9520836, '171809_v10.9520836'), ('TEST_313008 ', 35.9669191, '313008_v35.9669191')]"
TEST_53163,645.9964359,53163_v645.9964359,1489,1488.8413051,2.540296792984009,目標值: 1489,結果加總: 1488.8413051,所用時間: 2.54 秒,"[('TEST_53163', 645.9964359, '53163_v645.9964359'), ('TEST_184272 ', 177.9553731, '184272_v177.9553731'), ('TEST_469889', 569.9735845, '469889_v569.9735845'), ('TEST_136879 ', 94.9159116, '136879_v94.9159116')]"
TEST_313008 ,35.9669191,313008_v35.9669191,451,450.7571631,1.2464702129364014,目標值: 451,結果加總: 450.7571631,所用時間: 1.25 秒,"[('TEST_313008 ', 35.9669191, '313008_v35.9669191'), ('TEST_195226', 244.9140934, '195226_v244.9140934'), ('TEST_116267 ', 93.9622995, '116267_v93.9622995'), ('TEST_188133 ', 75.9138511, '188133_v75.9138511')]"
TEST_1360,1008.9624844,1360_v1008.9624844,1693,1692.9097736,7.007200717926025,目標值: 1693,結果加總: 1692.9097736,所用時間: 7.01 秒,"[('TEST_1360', 1008.9624844, '1360_v1008.9624844'), ('TEST_290475', 269.9884185, '290475_v269.9884185'), ('TEST_237380', 314.9795484, '237380_v314.9795484'), ('TEST_211078 ', 98.9793223, '211078_v98.9793223')]"
TEST_229935,951.9554591,229935_v951.9554591,1022,1021.8030568,1.2101905345916748,目標值: 1022,結果加總: 1021.8030568,所用時間: 1.21 秒,"[('TEST_229935', 951.9554591, '229935_v951.9554591'), ('TEST_57601  ', 38.9567035, '57601_v38.9567035'), ('TEST_171809 ', 10.9520836, '171809_v10.9520836'), ('TEST_361526 ', 19.9388106, '361526_v19.9388106')]"
TEST_336136 ,68.9856077,336136_v68.9856077,250,249.8619606,0.5022249221801758,目標值: 250,結果加總: 249.8619606,所用時間: 0.50 秒,"[('TEST_336136 ', 68.9856077, '336136_v68.9856077'), ('TEST_463565 ', 16.9729581, '463565_v16.9729581'), ('TEST_25242  ', 85.917553, '25242_v85.917553'), ('TEST_231073 ', 77.9858418, '231073_v77.9858418')]"
TEST_429165,415.9294651,429165_v415.9294651,456,455.8373507,0.27426648139953613,目標值: 456,結果加總: 455.8373507,所用時間: 0.27 秒,"[('TEST_429165', 415.9294651, '429165_v415.9294651'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_361526 ', 19.9388106, '361526_v19.9388106')]"
TEST_214304,597.9212483,214304_v597.9212483,1801,1800.7976431,1.281301498413086,目標值: 1801,結果加總: 1800.7976431,所用時間: 1.28 秒,"[('TEST_214304', 597.9212483, '214304_v597.9212483'), ('TEST_229935', 951.9554591, '229935_v951.9554591'), ('TEST_303993 ', 178.9724946, '303993_v178.9724946'), ('TEST_12586  ', 71.9484411, '12586_v71.9484411')]"
TEST_23205,958.9962822,23205_v958.9962822,999,998.9041678,0.8249578475952148,目標值: 999,結果加總: 998.9041678,所用時間: 0.82 秒,"[('TEST_23205', 958.9962822, '23205_v958.9962822'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_361526 ', 19.9388106, '361526_v19.9388106')]"
TEST_237849,942.9533853,237849_v942.9533853,1722,1721.7976764,2.7253224849700928,目標值: 1722,結果加總: 1721.7976764,所用時間: 2.73 秒,"[('TEST_237849', 942.9533853, '237849_v942.9533853'), ('TEST_22766', 453.9153667, '22766_v453.9153667'), ('TEST_427890 ', 20.9846507, '427890_v20.9846507'), ('TEST_463297', 303.9442737, '463297_v303.9442737')]"
TEST_185015,594.9132637,185015_v594.9132637,798,797.7196362,1.038403034210205,目標值: 798,結果加總: 797.7196362,所用時間: 1.04 秒,"[('TEST_185015', 594.9132637, '185015_v594.9132637'), ('TEST_354677 ', 61.9830253, '354677_v61.9830253'), ('TEST_25242  ', 85.917553, '25242_v85.917553'), ('TEST_336193 ', 54.9057942, '336193_v54.9057942')]"
TEST_444090,307.9418373,444090_v307.9418373,603,602.8059169999999,4.342690467834473,目標值: 603,結果加總: 602.8059169999999,所用時間: 4.34 秒,"[('TEST_444090', 307.9418373, '444090_v307.9418373'), ('TEST_367959 ', 181.9762309, '367959_v181.9762309'), ('TEST_129102 ', 18.9255493, '129102_v18.9255493'), ('TEST_116267 ', 93.9622995, '116267_v93.9622995')]"
TEST_172018,504.9503689,172018_v504.9503689,1112,1111.8553999,2.6632745265960693,目標值: 1112,結果加總: 1111.8553999,所用時間: 2.66 秒,"[('TEST_172018', 504.9503689, '172018_v504.9503689'), ('TEST_329437 ', 117.9506031, '329437_v117.9506031'), ('TEST_170970 ', 124.9642564, '170970_v124.9642564'), ('TEST_484446', 363.9901715, '484446_v363.9901715')]"
TEST_409589 ,163.9786417,409589_v163.9786417,817,816.9404482,2.162233591079712,目標值: 817,結果加總: 816.9404482,所用時間: 2.16 秒,"[('TEST_409589 ', 163.9786417, '409589_v163.9786417'), ('TEST_68629', 547.994297, '68629_v547.994297'), ('TEST_209433 ', 42.9844842, '209433_v42.9844842'), ('TEST_354677 ', 61.9830253, '354677_v61.9830253')]"
TEST_97506  ,180.9710942,97506_v180.9710942,1992,1991.8580967,0.7890455722808838,目標值: 1992,結果加總: 1991.8580967,所用時間: 0.79 秒,"[('TEST_97506  ', 180.9710942, '97506_v180.9710942'), ('TEST_359551', 1680.9750441, '359551_v1680.9750441'), ('TEST_427890 ', 20.9846507, '427890_v20.9846507'), ('TEST_474499 ', 108.9273077, '474499_v108.9273077')]"
TEST_369148,411.9116989,369148_v411.9116989,881,880.8234354,1.207956314086914,目標值: 881,結果加總: 880.8234354,所用時間: 1.21 秒,"[('TEST_369148', 411.9116989, '369148_v411.9116989'), ('TEST_147931 ', 43.9970076, '147931_v43.9970076'), ('TEST_313008 ', 35.9669191, '313008_v35.9669191'), ('TEST_9274', 388.9478098, '9274_v388.9478098')]"
TEST_136879 ,94.9159116,136879_v94.9159116,173,172.8440553,0.270888090133667,目標值: 173,結果加總: 172.8440553,所用時間: 0.27 秒,"[('TEST_136879 ', 94.9159116, '136879_v94.9159116'), ('TEST_386187 ', 13.9923255, '386187_v13.9923255'), ('TEST_361526 ', 19.9388106, '361526_v19.9388106'), ('TEST_147931 ', 43.9970076, '147931_v43.9970076')]"
TEST_63810,474.9337497,63810_v474.9337497,946,945.7984751,0.21841669082641602,目標值: 946,結果加總: 945.7984751,所用時間: 0.22 秒,"[('TEST_63810', 474.9337497, '63810_v474.9337497'), ('TEST_383888 ', 9.9845375, '383888_v9.9845375'), ('TEST_129102 ', 18.9255493, '129102_v18.9255493'), ('TEST_445472', 441.9546386, '445472_v441.9546386')]"
TEST_300487,319.9755039,300487_v319.9755039,655,654.8507081,1.4216368198394775,目標值: 655,結果加總: 654.8507081,所用時間: 1.42 秒,"[('TEST_300487', 319.9755039, '300487_v319.9755039'), ('TEST_462676', 207.9867505, '462676_v207.9867505'), ('TEST_313008 ', 35.9669191, '313008_v35.9669191'), ('TEST_357329 ', 90.9215346, '357329_v90.9215346')]"
